Latitude,Longitude,Date,Time,Sample ID,Type,TSS (mg/L)
29.63497,-90.99639,10/18/2016,10:12:00 AM,18-Atch15,VNIR-SWIR,8.98
29.58675,-91.0164,10/18/2016,10:36:00 AM,18-Atch16,VNIR-SWIR,10.1
29.53814,-91.38906,10/21/2016,11:17:00 AM,21-W3,VNIR-SWIR,18.47
29.605853,-91.351947,10/18/2016,3:50:00 PM,18-WL16,VNIR,19.11
29.597399,-91.371674,10/18/2016,3:34:00 PM,18-WL17,VNIR,21.75
29.65137,-91.24182,10/17/2016,1:29:00 PM,17-AtchDown,VNIR-SWIR,22.4
29.546038,-91.427726,10/17/2016,3:36:00 PM,17-WLS5Apex,VNIR,22.94
29.61861,-91.17279,10/18/2016,11:18:00 AM,18-Atch14,VNIR-SWIR,23.8
29.51606,-91.26595,10/17/2016,3:22:00 PM,17-Atch4South,VNIR-SWIR,24.01
29.53238,-91.23169,10/18/2016,11:41:00 AM,18-Atch13,VNIR-SWIR,25.3
29.6977,-91.21597,10/17/2016,4:21:00 PM,17-Atch1,VNIR-SWIR,27.76
29.54752,-91.39354,10/21/2016,10:59:00 AM,21-W2,VNIR-SWIR,28.23
29.41803,-91.34284,10/17/2016,2:47:00 PM,17-Atch12,VNIR-SWIR,28.69
29.5481,-91.38305,10/21/2016,10:40:00 AM,21-W1,VNIR-SWIR,28.85
29.41683,-91.34377,10/18/2016,12:09:00 PM,18-Atch12,VNIR-SWIR,29.47
29.474202,-91.485898,10/17/2016,3:07:00 AM,17-WLD8P,VNIR,29.55
29.60882,-91.386472,10/18/2016,3:06:00 PM,18-WL18,VNIR,29.96
29.70433,-91.2196,10/14/2016,9:02:00 AM,14-Atch1,VNIR-SWIR,30.94
29.628865,-91.399387,10/17/2016,4:53:00 PM,17-WL3,VNIR,32.45
29.65738,-91.24044,10/18/2016,1:31:00 PM,18-Atch2,VNIR-SWIR,32.65
29.650458,-91.397686,10/17/2016,1:46:00 PM,17-WICWW,VNIR,32.93
29.641105,-91.3945,10/17/2016,2:02:00 PM,17-WLS3,VNIR,35.76
29.64151,-91.23953,10/14/2016,9:25:00 AM,14-Atch2,VNIR-SWIR,36.4
29.70033,-91.21698,10/18/2016,2:22:00 PM,18-Atch1,VNIR-SWIR,37.44
29.6564,-91.24868,10/17/2016,12:58:00 PM,17-ICWW,VNIR-SWIR,38.4
29.52788,-91.26845,10/18/2016,12:50:00 PM,18-Atch4,VNIR-SWIR,42.77
29.5806,-91.23129,10/18/2016,1:08:00 PM,18-Atch3,VNIR-SWIR,44.28
29.658209,-91.388394,10/17/2016,1:20:00 PM,17-WL2,VNIR,45.01
29.47007,-91.27598,10/18/2016,12:28:00 PM,18-Atch5,VNIR-SWIR,45.82
29.58303,-91.23285,10/14/2016,9:46:00 AM,14-Atch3,VNIR-SWIR,49.17
29.52757,-91.2695,10/14/2016,9:59:00 AM,14-Atch4,VNIR-SWIR,50
29.594817,-91.339839,10/18/2016,4:24:00 PM,18-WL15,VNIR,50.61
29.4733,-91.27161,10/14/2016,10:12:00 AM,14-Atch5,VNIR-SWIR,52.05
29.628865,-91.399387,10/18/2016,11:42:00 AM,18-WL3,VNIR,62.99
29.744005,-91.356116,10/14/2016,9:15:00 AM,14-WLD21,VNIR,74.39
